"","ME_EVENT","Cercs","ControlImpact","ControlDay","ControlDay_names","Time"
"64","day30_0",22.00004531096,0,1,"Day30",64
"65","day30_0",24.1573643747424,0,1,"Day30",65
"66","day30_0",26.2929977063551,0,1,"Day30",66
"67","day30_0",28.3046533029359,0,1,"Day30",67
"68","day30_0",30.1547000396355,0,1,"Day30",68
"69","day30_0",31.7192941992736,0,1,"Day30",69
"70","day30_0",32.9648762243813,0,1,"Day30",70
"71","day30_0",33.3051002437112,0,1,"Day30",71
"72","day30_0",33.7582616658153,0,1,"Day30",72
"73","day30_0",34.1449704365395,0,1,"Day30",73
"74","day30_0",32.7272326430096,0,1,"Day30",74
"75","day30_0",32.2896760557982,0,1,"Day30",75
"76","day30_0",32.2547079830139,0,1,"Day30",76
"77","day30_0",31.9458439479392,0,1,"Day30",77
"78","day30_0",31.614219219318,0,1,"Day30",78
"79","day30_0",30.4582212994742,0,1,"Day30",79
"80","day30_0",29.8269534307267,0,1,"Day30",80
"81","day30_0",28.5007229599424,0,1,"Day30",81
"82","day30_0",27.7868300354857,0,1,"Day30",82
"83","day30_0",27.2142035053803,0,1,"Day30",83
"84","day30_0",26.9955459774852,0,1,"Day30",84
"85","day30_0",25.4651063683152,0,1,"Day30",85
"86","day30_0",24.1600891001471,0,1,"Day30",86
"87","day30_0",21.5580000768144,0,1,"Day30",87
"88","day30_0",19.8727450210324,0,1,"Day30",88
"89","day30_0",19.39277433288,0,1,"Day30",89
"90","day30_0",17.0882029843438,0,1,"Day30",90
"91","day30_0",16.4663985645046,0,1,"Day30",91
"92","day30_0",16.4396495020162,0,1,"Day30",92
"93","day30_0",15.0098090718561,0,1,"Day30",93
"94","day30_0",14.6758001734445,0,1,"Day30",94
"95","day30_0",14.6649251665505,0,1,"Day30",95
"96","day30_0",14.0869244750916,0,1,"Day30",96
"97","day30_0",13.576289903721,0,1,"Day30",97
"98","day30_0",13.5204379429624,0,1,"Day30",98
"99","day30_0",13.6938911548502,0,1,"Day30",99
"100","day30_0",13.9277010255088,0,1,"Day30",100
"101","day30_0",14.1077148700671,0,1,"Day30",101
"102","day30_0",14.2279382626063,0,1,"Day30",102
"103","day30_0",14.3281659770694,0,1,"Day30",103
"104","day30_0",13.619037692656,0,1,"Day30",104
"105","day30_0",13.3461639756671,0,1,"Day30",105
"106","day30_0",12.1237793451508,0,1,"Day30",106
"107","day30_0",11.62808917038,0,1,"Day30",107
"108","day30_0",11.5177349458911,0,1,"Day30",108
"109","day30_0",11.5191378954552,0,1,"Day30",109
"110","day30_0",11.0736540117568,0,1,"Day30",110
"111","day30_0",11.001769649571,0,1,"Day30",111
"112","day30_0",10.9793248705811,0,1,"Day30",112
"113","day30_0",10.9910678978291,0,1,"Day30",113
"114","day30_0",11.0213879161307,0,1,"Day30",114
"115","day30_0",10.4385420275198,0,1,"Day30",115
"116","day30_0",9.7721250077286,0,1,"Day30",116
"117","day30_0",8.78496388690067,0,1,"Day30",117
"118","day30_0",8.57780760542432,0,1,"Day30",118
"119","day30_0",8.32159906835965,0,1,"Day30",119
"120","day30_0",8.37934521492094,0,1,"Day30",120
"121","day30_0",8.41258883504771,0,1,"Day30",121
"122","day30_0",8.47881847944247,0,1,"Day30",122
"123","day30_0",8.5131830040114,0,1,"Day30",123
"124","day30_0",8.54182500610593,0,1,"Day30",124
"125","day30_0",8.6363618098305,0,1,"Day30",125
"126","day30_0",8.65713995635483,0,1,"Day30",126
"127","day30_0",8.63478380928678,0,1,"Day30",127
"128","day30_0",8.61055944239664,0,1,"Day30",128
"129","day30_0",8.63164779584236,0,1,"Day30",129
"130","day30_0",8.6874057675232,0,1,"Day30",130
"131","day30_0",8.219917978986,0,1,"Day30",131
"132","day30_0",8.06193883258446,0,1,"Day30",132
"133","day30_0",8.05782155248952,0,1,"Day30",133
"134","day30_0",8.15230688978905,0,1,"Day30",134
"135","day30_0",8.21706610287369,0,1,"Day30",135
"136","day30_0",8.26888968599398,0,1,"Day30",136
"137","day30_0",8.37795451679177,0,1,"Day30",137
"138","day30_0",8.40607722579712,0,1,"Day30",138
"139","day30_0",8.43042299227023,0,1,"Day30",139
"140","day30_0",8.46937929923525,0,1,"Day30",140
"141","day30_0",8.43971052367165,0,1,"Day30",141
"142","day30_0",8.44279599109707,0,1,"Day30",142
"143","day30_0",8.34193107112928,0,1,"Day30",143
"144","day30_0",7.88482494073773,0,1,"Day30",144
"145","day30_0",7.64866499293325,0,1,"Day30",145
"146","day30_0",7.45978660330786,0,1,"Day30",146
"147","day30_0",7.38830212688311,0,1,"Day30",147
"148","day30_0",7.41800445764354,0,1,"Day30",148
"149","day30_0",6.97293133448517,0,1,"Day30",149
"150","day30_0",6.77319808265724,0,1,"Day30",150
"151","day30_1",0,1,1,"Day30",1
"152","day30_1",0,1,1,"Day30",2
"153","day30_1",0,1,1,"Day30",3
"154","day30_1",0,1,1,"Day30",4
"155","day30_1",0,1,1,"Day30",5
"156","day30_1",0,1,1,"Day30",6
"157","day30_1",0,1,1,"Day30",7
"158","day30_1",0,1,1,"Day30",8
"159","day30_1",0,1,1,"Day30",9
"160","day30_1",0,1,1,"Day30",10
"161","day30_1",0,1,1,"Day30",11
"162","day30_1",0,1,1,"Day30",12
"163","day30_1",0,1,1,"Day30",13
"164","day30_1",0,1,1,"Day30",14
"165","day30_1",0,1,1,"Day30",15
"166","day30_1",0,1,1,"Day30",16
"167","day30_1",0,1,1,"Day30",17
"168","day30_1",0,1,1,"Day30",18
"169","day30_1",0,1,1,"Day30",19
"170","day30_1",0,1,1,"Day30",20
"171","day30_1",0,1,1,"Day30",21
"172","day30_1",0,1,1,"Day30",22
"173","day30_1",0,1,1,"Day30",23
"174","day30_1",0,1,1,"Day30",24
"175","day30_1",0,1,1,"Day30",25
"176","day30_1",0,1,1,"Day30",26
"177","day30_1",0,1,1,"Day30",27
"178","day30_1",0,1,1,"Day30",28
"179","day30_1",0,1,1,"Day30",29
"180","day30_1",0.006,1,1,"Day30",30
"181","day30_1",0.00220727664702865,1,1,"Day30",31
"182","day30_1",0.00481201169941967,1,1,"Day30",32
"183","day30_1",0.00577024017489295,1,1,"Day30",33
"184","day30_1",0.0101227527309646,1,1,"Day30",34
"185","day30_1",0.017723952617784,1,1,"Day30",35
"186","day30_1",0.0365202777843795,1,1,"Day30",36
"187","day30_1",0.0634350593827434,1,1,"Day30",37
"188","day30_1",0.115336454196401,1,1,"Day30",38
"189","day30_1",0.206429910316468,1,1,"Day30",39
"190","day30_1",0.349941320048293,1,1,"Day30",40
"191","day30_1",0.588736217262163,1,1,"Day30",41
"192","day30_1",0.974583950603793,1,1,"Day30",42
"193","day30_1",1.56252939912278,1,1,"Day30",43
"194","day30_1",2.44282244216324,1,1,"Day30",44
"195","day30_1",3.71066415490407,1,1,"Day30",45
"196","day30_1",5.43507705568101,1,1,"Day30",46
"197","day30_1",7.74145310996766,1,1,"Day30",47
"198","day30_1",10.6879214439498,1,1,"Day30",48
"199","day30_1",14.3518665680845,1,1,"Day30",49
"200","day30_1",18.747756652834,1,1,"Day30",50
"201","day30_1",23.8529142406628,1,1,"Day30",51
"202","day30_1",29.5969967611654,1,1,"Day30",52
"203","day30_1",35.8661266288505,1,1,"Day30",53
"204","day30_1",40.2304106212057,1,1,"Day30",54
"205","day30_1",46.0139409774268,1,1,"Day30",55
"206","day30_1",52.3095828928715,1,1,"Day30",56
"207","day30_1",56.8756201225408,1,1,"Day30",57
"208","day30_1",62.1693713469596,1,1,"Day30",58
"209","day30_1",67.3908335890994,1,1,"Day30",59
"210","day30_1",69.3137022008356,1,1,"Day30",60
"211","day30_1",72.4790860311672,1,1,"Day30",61
"212","day30_1",75.4435656657627,1,1,"Day30",62
"213","day30_1",77.9001367771018,1,1,"Day30",63
"214","day30_1",79.8998587847391,1,1,"Day30",64
"215","day30_1",77.313515399407,1,1,"Day30",65
"216","day30_1",76.6160528401335,1,1,"Day30",66
"217","day30_1",72.47147070359,1,1,"Day30",67
"218","day30_1",60.9707641433092,1,1,"Day30",68
"219","day30_1",56.4818906408364,1,1,"Day30",69
"220","day30_1",52.2285263652574,1,1,"Day30",70
"221","day30_1",50.1858010924588,1,1,"Day30",71
"222","day30_1",49.1183244606349,1,1,"Day30",72
"223","day30_1",48.345621753856,1,1,"Day30",73
"224","day30_1",47.5773603138945,1,1,"Day30",74
"225","day30_1",43.5967327246879,1,1,"Day30",75
"226","day30_1",41.5743416716589,1,1,"Day30",76
"227","day30_1",39.8463455812405,1,1,"Day30",77
"228","day30_1",36.0746513451509,1,1,"Day30",78
"229","day30_1",34.3811225773087,1,1,"Day30",79
"230","day30_1",33.1961081605872,1,1,"Day30",80
"231","day30_1",32.2101657191836,1,1,"Day30",81
"232","day30_1",31.3274577648128,1,1,"Day30",82
"233","day30_1",30.3427276558413,1,1,"Day30",83
"234","day30_1",27.5104656936482,1,1,"Day30",84
"235","day30_1",26.0925347457454,1,1,"Day30",85
"236","day30_1",25.5509071010113,1,1,"Day30",86
"237","day30_1",23.1816534257435,1,1,"Day30",87
"238","day30_1",21.7980537076926,1,1,"Day30",88
"239","day30_1",21.035055816611,1,1,"Day30",89
"240","day30_1",20.590364578825,1,1,"Day30",90
"241","day30_1",20.1727718147744,1,1,"Day30",91
"242","day30_1",20.0211480220982,1,1,"Day30",92
"243","day30_1",19.7033687459802,1,1,"Day30",93
"244","day30_1",18.5744642834661,1,1,"Day30",94
"245","day30_1",18.0391635406604,1,1,"Day30",95
"246","day30_1",18.0402374025384,1,1,"Day30",96
"247","day30_1",17.806632454246,1,1,"Day30",97
"248","day30_1",17.2946939964133,1,1,"Day30",98
"249","day30_1",16.3343623626316,1,1,"Day30",99
"250","day30_1",15.6750760978568,1,1,"Day30",100
"251","day30_1",15.5325382351994,1,1,"Day30",101
"252","day30_1",15.5541014859392,1,1,"Day30",102
"253","day30_1",15.7320341625712,1,1,"Day30",103
"254","day30_1",14.5914919362167,1,1,"Day30",104
"255","day30_1",14.245909899353,1,1,"Day30",105
"256","day30_1",14.0287773727527,1,1,"Day30",106
"257","day30_1",13.4688987802068,1,1,"Day30",107
"258","day30_1",13.2109309564572,1,1,"Day30",108
"259","day30_1",13.274029897616,1,1,"Day30",109
"260","day30_1",13.349242700828,1,1,"Day30",110
"261","day30_1",13.5449119448426,1,1,"Day30",111
"262","day30_1",13.9468946369851,1,1,"Day30",112
"263","day30_1",14.2907758051311,1,1,"Day30",113
"264","day30_1",14.381282617098,1,1,"Day30",114
"265","day30_1",13.2005782125066,1,1,"Day30",115
"266","day30_1",12.5642213359568,1,1,"Day30",116
"267","day30_1",12.2501187238261,1,1,"Day30",117
"268","day30_1",12.512566830405,1,1,"Day30",118
"269","day30_1",12.9531160931897,1,1,"Day30",119
"270","day30_1",13.1191851097914,1,1,"Day30",120
"271","day30_1",13.3182784868148,1,1,"Day30",121
"272","day30_1",13.3055208470951,1,1,"Day30",122
"273","day30_1",13.4088275737243,1,1,"Day30",123
"274","day30_1",13.3788319945859,1,1,"Day30",124
"275","day30_1",13.4637972376949,1,1,"Day30",125
"276","day30_1",13.1830542038488,1,1,"Day30",126
"277","day30_1",12.9917746134447,1,1,"Day30",127
"278","day30_1",13.0974067846194,1,1,"Day30",128
"279","day30_1",13.4122666887208,1,1,"Day30",129
"280","day30_1",13.466097174289,1,1,"Day30",130
"281","day30_1",13.6159003032378,1,1,"Day30",131
"282","day30_1",13.3510097946012,1,1,"Day30",132
"283","day30_1",12.9575620223123,1,1,"Day30",133
"284","day30_1",12.7848206757126,1,1,"Day30",134
"285","day30_1",12.0552726856583,1,1,"Day30",135
"286","day30_1",11.4508869787693,1,1,"Day30",136
"287","day30_1",11.158545902667,1,1,"Day30",137
"288","day30_1",11.100999630959,1,1,"Day30",138
"289","day30_1",11.3178295406816,1,1,"Day30",139
"290","day30_1",11.3155968066996,1,1,"Day30",140
"291","day30_1",11.35877542977,1,1,"Day30",141
"292","day30_1",11.3366599574957,1,1,"Day30",142
"293","day30_1",11.5485241299142,1,1,"Day30",143
"294","day30_1",11.8684646032678,1,1,"Day30",144
"295","day30_1",11.8621641258132,1,1,"Day30",145
"296","day30_1",12.0478463096881,1,1,"Day30",146
"297","day30_1",11.9421549677275,1,1,"Day30",147
"298","day30_1",12.0072732959104,1,1,"Day30",148
"299","day30_1",11.7832289900923,1,1,"Day30",149
"300","day30_1",11.5228076960703,1,1,"Day30",150
"301","day30_2",0,2,1,"Day30",1
"302","day30_2",0,2,1,"Day30",2
"303","day30_2",0,2,1,"Day30",3
"304","day30_2",0,2,1,"Day30",4
"305","day30_2",0,2,1,"Day30",5
"306","day30_2",0,2,1,"Day30",6
"307","day30_2",0,2,1,"Day30",7
"308","day30_2",0,2,1,"Day30",8
"309","day30_2",0,2,1,"Day30",9
"310","day30_2",0,2,1,"Day30",10
"311","day30_2",0,2,1,"Day30",11
"312","day30_2",0,2,1,"Day30",12
"313","day30_2",0,2,1,"Day30",13
"314","day30_2",0,2,1,"Day30",14
"315","day30_2",0,2,1,"Day30",15
"316","day30_2",0,2,1,"Day30",16
"317","day30_2",0,2,1,"Day30",17
"318","day30_2",0,2,1,"Day30",18
"319","day30_2",0,2,1,"Day30",19
"320","day30_2",0,2,1,"Day30",20
"321","day30_2",0,2,1,"Day30",21
"322","day30_2",0,2,1,"Day30",22
"323","day30_2",0,2,1,"Day30",23
"324","day30_2",0,2,1,"Day30",24
"325","day30_2",0,2,1,"Day30",25
"326","day30_2",0,2,1,"Day30",26
"327","day30_2",0,2,1,"Day30",27
"328","day30_2",0,2,1,"Day30",28
"329","day30_2",0,2,1,"Day30",29
"330","day30_2",0,2,1,"Day30",30
"331","day30_2",0.004,2,1,"Day30",31
"332","day30_2",0.00547151776468577,2,1,"Day30",32
"333","day30_2",0.00801285889763222,2,1,"Day30",33
"334","day30_2",0.0169477660534466,2,1,"Day30",34
"335","day30_2",0.0302347347048463,2,1,"Day30",35
"336","day30_2",0.0571227373071857,2,1,"Day30",36
"337","day30_2",0.0910142806787506,2,1,"Day30",37
"338","day30_2",0.16348228271472,2,1,"Day30",38
"339","day30_2",0.260141770806523,2,1,"Day30",39
"340","day30_2",0.425700809269653,2,1,"Day30",40
"341","day30_2",0.660606575820351,2,1,"Day30",41
"342","day30_2",1.00902357794697,2,1,"Day30",42
"343","day30_2",1.48319902998394,2,1,"Day30",43
"344","day30_2",2.12563843029652,2,1,"Day30",44
"345","day30_2",2.94197867787003,2,1,"Day30",45
"346","day30_2",3.98829347195313,2,1,"Day30",46
"347","day30_2",5.29121117368983,2,1,"Day30",47
"348","day30_2",6.90452780969711,2,1,"Day30",48
"349","day30_2",8.85003383218405,2,1,"Day30",49
"350","day30_2",11.1477455005322,2,1,"Day30",50
"351","day30_2",13.8470263850572,2,1,"Day30",51
"352","day30_2",16.9520363284211,2,1,"Day30",52
"353","day30_2",20.3843056512175,2,1,"Day30",53
"354","day30_2",24.1089669716378,2,1,"Day30",54
"355","day30_2",28.0211932967469,2,1,"Day30",55
"356","day30_2",31.9864209309642,2,1,"Day30",56
"357","day30_2",35.9471466571576,2,1,"Day30",57
"358","day30_2",39.776216223943,2,1,"Day30",58
"359","day30_2",43.4448521963786,2,1,"Day30",59
"360","day30_2",46.9144679477797,2,1,"Day30",60
"361","day30_2",50.1968682514847,2,1,"Day30",61
"362","day30_2",43.6143958409127,2,1,"Day30",62
"363","day30_2",35.940839568985,2,1,"Day30",63
"364","day30_2",34.4398959758707,2,1,"Day30",64
"365","day30_2",35.3377296856059,2,1,"Day30",65
"366","day30_2",36.8920242490082,2,1,"Day30",66
"367","day30_2",36.0278172644084,2,1,"Day30",67
"368","day30_2",37.3418932818574,2,1,"Day30",68
"369","day30_2",39.4993148328133,2,1,"Day30",69
"370","day30_2",41.3069858673502,2,1,"Day30",70
"371","day30_2",35.3019908773575,2,1,"Day30",71
"372","day30_2",34.7088766762016,2,1,"Day30",72
"373","day30_2",36.0146821553296,2,1,"Day30",73
"374","day30_2",31.3970611452698,2,1,"Day30",74
"375","day30_2",31.2143333085475,2,1,"Day30",75
"376","day30_2",32.6391114940876,2,1,"Day30",76
"377","day30_2",34.7412580967774,2,1,"Day30",77
"378","day30_2",36.9545946142353,2,1,"Day30",78
"379","day30_2",38.9608356154021,2,1,"Day30",79
"380","day30_2",38.5228904337665,2,1,"Day30",80
"381","day30_2",39.5917794050827,2,1,"Day30",81
"382","day30_2",41.3670016825248,2,1,"Day30",82
"383","day30_2",42.0740694619053,2,1,"Day30",83
"384","day30_2",42.8001851614542,2,1,"Day30",84
"385","day30_2",43.80730819923,2,1,"Day30",85
"386","day30_2",44.2418080595579,2,1,"Day30",86
"387","day30_2",43.7736516253644,2,1,"Day30",87
"388","day30_2",43.6234264979725,2,1,"Day30",88
"389","day30_2",42.2701617620576,2,1,"Day30",89
"390","day30_2",41.5103234872522,2,1,"Day30",90
"391","day30_2",39.9607946073361,2,1,"Day30",91
"392","day30_2",39.6147547889136,2,1,"Day30",92
"393","day30_2",39.0014538538893,2,1,"Day30",93
"394","day30_2",38.6558330486426,2,1,"Day30",94
"395","day30_2",36.6626862599512,2,1,"Day30",95
"396","day30_2",35.3654485331548,2,1,"Day30",96
"397","day30_2",34.4422214431544,2,1,"Day30",97
"398","day30_2",32.9065851772107,2,1,"Day30",98
"399","day30_2",32.4376561658527,2,1,"Day30",99
"400","day30_2",32.4871468232053,2,1,"Day30",100
"401","day30_2",32.8353534185754,2,1,"Day30",101
"402","day30_2",32.0274514662923,2,1,"Day30",102
"403","day30_2",32.1002409475651,2,1,"Day30",103
"404","day30_2",32.3270187012589,2,1,"Day30",104
"405","day30_2",32.9684455745579,2,1,"Day30",105
"406","day30_2",33.4724133342595,2,1,"Day30",106
"407","day30_2",33.9658127120669,2,1,"Day30",107
"408","day30_2",34.745324199449,2,1,"Day30",108
"409","day30_2",34.7580904498139,2,1,"Day30",109
"410","day30_2",35.062786890864,2,1,"Day30",110
"411","day30_2",34.9748784473244,2,1,"Day30",111
"412","day30_2",34.8085387382408,2,1,"Day30",112
"413","day30_2",35.0373457790185,2,1,"Day30",113
"414","day30_2",34.6075191853159,2,1,"Day30",114
"415","day30_2",31.889394818224,2,1,"Day30",115
"416","day30_2",30.6254527450237,2,1,"Day30",116
"417","day30_2",30.5284744414617,2,1,"Day30",117
"418","day30_2",30.6227981173416,2,1,"Day30",118
"419","day30_2",30.2094978585135,2,1,"Day30",119
"420","day30_2",30.1834531902598,2,1,"Day30",120
"421","day30_2",29.9798718922572,2,1,"Day30",121
"422","day30_2",30.098978518115,2,1,"Day30",122
"423","day30_2",29.5947953970754,2,1,"Day30",123
"424","day30_2",29.3873167922593,2,1,"Day30",124
"425","day30_2",29.5549896790645,2,1,"Day30",125
"426","day30_2",29.676673086962,2,1,"Day30",126
"427","day30_2",30.2414379110592,2,1,"Day30",127
"428","day30_2",30.3212032789413,2,1,"Day30",128
"429","day30_2",30.5565473179026,2,1,"Day30",129
"430","day30_2",28.6371255514387,2,1,"Day30",130
"431","day30_2",28.4390097446197,2,1,"Day30",131
"432","day30_2",25.6281270123199,2,1,"Day30",132
"433","day30_2",24.594061043563,2,1,"Day30",133
"434","day30_2",24.7856494328423,2,1,"Day30",134
"435","day30_2",25.4181308624253,2,1,"Day30",135
"436","day30_2",26.0428077772916,2,1,"Day30",136
"437","day30_2",25.9586135716453,2,1,"Day30",137
"438","day30_2",25.6816402543223,2,1,"Day30",138
"439","day30_2",25.8937474651261,2,1,"Day30",139
"440","day30_2",24.645777347305,2,1,"Day30",140
"441","day30_2",23.7986747977624,2,1,"Day30",141
"442","day30_2",23.3430431852217,2,1,"Day30",142
"443","day30_2",21.4354256822202,2,1,"Day30",143
"444","day30_2",21.1596524212471,2,1,"Day30",144
"445","day30_2",20.7122011081103,2,1,"Day30",145
"446","day30_2",20.9035929690821,2,1,"Day30",146
"447","day30_2",21.1980020999412,2,1,"Day30",147
"448","day30_2",21.1343091664774,2,1,"Day30",148
"449","day30_2",21.3488778457082,2,1,"Day30",149
"450","day30_2",20.3278132515165,2,1,"Day30",150
"451","day30_3",0,3,1,"Day30",1
"452","day30_3",0,3,1,"Day30",2
"453","day30_3",0,3,1,"Day30",3
"454","day30_3",0,3,1,"Day30",4
"455","day30_3",0,3,1,"Day30",5
"456","day30_3",0,3,1,"Day30",6
"457","day30_3",0,3,1,"Day30",7
"458","day30_3",0,3,1,"Day30",8
"459","day30_3",0,3,1,"Day30",9
"460","day30_3",0,3,1,"Day30",10
"461","day30_3",0,3,1,"Day30",11
"462","day30_3",0,3,1,"Day30",12
"463","day30_3",0,3,1,"Day30",13
"464","day30_3",0,3,1,"Day30",14
"465","day30_3",0,3,1,"Day30",15
"466","day30_3",0,3,1,"Day30",16
"467","day30_3",0,3,1,"Day30",17
"468","day30_3",0,3,1,"Day30",18
"469","day30_3",0,3,1,"Day30",19
"470","day30_3",0,3,1,"Day30",20
"471","day30_3",0,3,1,"Day30",21
"472","day30_3",0,3,1,"Day30",22
"473","day30_3",0,3,1,"Day30",23
"474","day30_3",0,3,1,"Day30",24
"475","day30_3",0,3,1,"Day30",25
"476","day30_3",0,3,1,"Day30",26
"477","day30_3",0,3,1,"Day30",27
"478","day30_3",0,3,1,"Day30",28
"479","day30_3",0.002,3,1,"Day30",29
"480","day30_3",0.00473575888234289,3,1,"Day30",30
"481","day30_3",0.001742188331159,3,1,"Day30",31
"482","day30_3",0.000640915269682181,3,1,"Day30",32
"483","day30_3",0.000235779551248925,3,1,"Day30",33
"484","day30_3",8.6738449553108e-05,3,1,"Day30",34
"485","day30_3",3.19092923496747e-05,3,1,"Day30",35
"486","day30_3",1.17387726377745e-05,3,1,"Day30",36
"487","day30_3",4.3184531180231e-06,3,1,"Day30",37
"488","day30_3",1.58867011978341e-06,3,1,"Day30",38
"489","day30_3",0.00200058443907587,3,1,"Day30",39
"490","day30_3",0.000735973885463514,3,1,"Day30",40
"491","day30_3",0.00227074966170109,3,1,"Day30",41
"492","day30_3",0.00283536211658684,3,1,"Day30",42
"493","day30_3",0.00504307143096864,3,1,"Day30",43
"494","day30_3",0.00785524229981241,3,1,"Day30",44
"495","day30_3",0.0108897821475213,3,1,"Day30",45
"496","day30_3",0.0100061269709089,3,1,"Day30",46
"497","day30_3",0.0196810483983485,3,1,"Day30",47
"498","day30_3",0.0292402530864526,3,1,"Day30",48
"499","day30_3",0.0387568879651557,3,1,"Day30",49
"500","day30_3",0.0602578622861657,3,1,"Day30",50
"501","day30_3",0.0781676287040204,3,1,"Day30",51
"502","day30_3",0.110756263565332,3,1,"Day30",52
"503","day30_3",0.156744952346651,3,1,"Day30",53
"504","day30_3",0.21166324547573,3,1,"Day30",54
"505","day30_3",0.277866556462145,3,1,"Day30",55
"506","day30_3",0.386221393511527,3,1,"Day30",56
"507","day30_3",0.512082910413476,3,1,"Day30",57
"508","day30_3",0.696384774916355,3,1,"Day30",58
"509","day30_3",0.908185641836529,3,1,"Day30",59
"510","day30_3",1.20010282639875,3,1,"Day30",60
"511","day30_3",1.58749315712384,3,1,"Day30",61
"512","day30_3",2.06000609550621,3,1,"Day30",62
"513","day30_3",2.66183389122459,3,1,"Day30",63
"514","day30_3",3.40523396439491,3,1,"Day30",64
"515","day30_3",4.30471556787962,3,1,"Day30",65
"516","day30_3",5.39161635751356,3,1,"Day30",66
"517","day30_3",6.6834648126129,3,1,"Day30",67
"518","day30_3",7.75670930035303,3,1,"Day30",68
"519","day30_3",9.0115338827432,3,1,"Day30",69
"520","day30_3",10.7251580488811,3,1,"Day30",70
"521","day30_3",12.7455651494978,3,1,"Day30",71
"522","day30_3",14.8028313846115,3,1,"Day30",72
"523","day30_3",17.123657337526,3,1,"Day30",73
"524","day30_3",19.8454414921403,3,1,"Day30",74
"525","day30_3",22.9007299259291,3,1,"Day30",75
"526","day30_3",25.8487077275689,3,1,"Day30",76
"527","day30_3",28.939208153822,3,1,"Day30",77
"528","day30_3",32.6901397235721,3,1,"Day30",78
"529","day30_3",35.9740303333241,3,1,"Day30",79
"530","day30_3",39.5281061757078,3,1,"Day30",80
"531","day30_3",43.9195776104848,3,1,"Day30",81
"532","day30_3",48.8291096678309,3,1,"Day30",82
"533","day30_3",51.5592255775007,3,1,"Day30",83
"534","day30_3",56.0255790926833,3,1,"Day30",84
"535","day30_3",59.5166587279228,3,1,"Day30",85
"536","day30_3",61.6409551532197,3,1,"Day30",86
"537","day30_3",66.3924401350404,3,1,"Day30",87
"538","day30_3",71.5724137748871,3,1,"Day30",88
"539","day30_3",76.4460195827967,3,1,"Day30",89
"540","day30_3",81.2429189639004,3,1,"Day30",90
"541","day30_3",85.3755996275764,3,1,"Day30",91
